merchant_id,name,category,region,mdr_bps,onboarded_at,owner_tax_id,owner_dob,owner_email,business_card_fingerprint
27,Vault Depot,Travel,NA,450,2025-06-06,918-87-0714,1971-12-02,vault2796415@post.example,37b2e2f55e1c744c
28,North Mart,Home,NA,300,2024-08-19,941-96-5646,1970-05-17,cedar5962410@inbox.example,bfa5cceab60959fd
29,Urban Studio,Home,NA,400,2025-04-15,944-89-0904,1977-03-01,flint7409804@post.example,9143b38a64b8e039
30,North Works,Home,NA,450,2024-06-13,993-12-2339,2001-08-13,quill8539017@post.example,324dc255a053215e
31,Vivid Mart,Home,NA,350,2025-12-08,973-55-9022,1966-12-31,urban6593249@post.example,5b0f63830c3cd741
32,Drift Mart,Home,EU,400,2025-11-17,950-61-2746,1996-05-11,pulse9490123@mail.example,5719237773b2a827
33,Peak Depot,Home,NA,350,2024-12-17,943-05-9635,2001-04-08,pulse1135532@post.example,411bb9afcf18dcf4
34,Loop Studio,Home,APAC,500,2025-03-27,901-93-6300,1983-12-04,wren3549089@mail.example,3f55284539c54976
35,Vivid Mart,Beauty,APAC,300,2025-07-16,932-52-2601,2005-10-21,vault5027035@mail.example,3d469a31bf61dd92
36,Vault Works,Beauty,NA,350,2024-09-21,976-44-8383,1993-10-30,drift1100365@inbox.example,dd4b2e02df60341c
37,Cedar Mart,Beauty,NA,450,2024-11-08,945-16-2922,1972-02-24,wren9384910@mail.example,e1cc0559ab3e6145
38,Vault Outlet,Beauty,NA,550,2024-11-01,927-64-6391,2007-06-26,flint9488103@test.example,d714f3a3e5d14056
39,Drift Collective,Beauty,NA,450,2025-12-18,912-38-7374,1958-04-01,flint1868779@mail.example,3433801c00370c6f
40,North Mart,Beauty,EU,350,2025-10-06,950-45-5487,1997-04-26,coral1823440@mail.example,e17f420fa7dee06b
41,Vivid Goods,Beauty,APAC,350,2025-08-25,950-19-1907,1972-08-01,drift7800990@post.example,bd2716870458591b
42,Pulse Supply,Beauty,NA,400,2024-06-02,912-76-4117,1969-07-14,vault4220766@mail.example,4129f5c1b362b553
43,Vault House,Beauty,EU,350,2024-07-01,993-12-8400,1988-06-03,flint2282472@inbox.example,5933a35edc307a49
44,Loop Supply,Beauty,APAC,300,2025-05-03,964-12-1814,1957-08-12,flint8351096@post.example,6968328fae96304c
45,Quill Outlet,Fitness,EU,400,2025-11-08,910-00-6776,2000-07-22,quill1982223@mail.example,b8d098851fdb3d7a
46,Vault Supply,Fitness,APAC,300,2025-05-31,995-00-5523,1985-06-23,nova8861396@post.example,a42ebc48c6128e87
47,Cedar Supply,Fitness,APAC,450,2025-06-15,911-92-6001,2006-07-16,cedar6435254@test.example,70828fac131343ea
48,Drift Mart,Fitness,EU,500,2024-06-24,933-04-5988,1987-11-26,drift871547@test.example,a3fb6f3540f7ea08
49,Peak Outlet,Fitness,EU,250,2025-03-24,998-42-3670,1974-02-14,cedar4355743@post.example,505041a83abd85ef
50,Loop Mart,Fitness,EU,450,2025-02-25,971-70-3527,1969-11-15,lumen3182328@inbox.example,43fac5182d498a27
51,Bright House,Fitness,APAC,450,2025-07-25,911-86-2675,1987-06-12,lumen8341905@post.example,091a069820a6cac0
52,Atlas Works,Fitness,NA,450,2025-03-28,998-23-9850,1990-12-30,drift749092@inbox.example,4b5f80a01ab3ad83
53,Urban Supply,Fitness,NA,450,2025-05-08,980-71-3834,1993-05-25,cedar491677@mail.example,1608dd693f39f005
54,Atlas Works,Fitness,EU,300,2025-11-23,923-85-3005,1982-08-14,coral4064816@inbox.example,f9a5a66804d56cf7
55,Quill Collective,Grocery,EU,350,2025-09-06,958-62-5714,1959-04-27,cedar7154932@post.example,4e000cc4e228f333
56,Vivid Labs,Grocery,EU,250,2025-02-15,931-40-9083,1983-03-08,ember3257820@test.example,65942651a535ef30
57,Lumen Studio,Grocery,EU,400,2024-06-01,928-43-7621,1983-10-11,urban6751875@mail.example,57393245ad6b59b5
58,North Mart,Grocery,NA,500,2025-07-04,974-87-2392,1990-07-13,quill5202787@test.example,bddcb124d0e63dc6
59,Drift House,Grocery,EU,300,2025-01-27,918-09-9440,1977-12-05,flint2765448@inbox.example,3b51f940a46acf44
60,Drift Store,Grocery,NA,600,2024-12-19,945-97-6745,1970-04-23,wren2656066@test.example,452ade724fe0d2fa
61,Coral Studio,Grocery,NA,250,2025-10-02,909-79-5098,1972-01-07,nova5253313@post.example,7356d55f05102e9b
