customer_id,signup_at,region,risk_band,credit_limit_usd,status,tax_id,dob,email,is_confirmed_fraud
148,2026-04-15,NA,A,3450,active,924-31-2004,1971-07-25,urban3031458@test.example,0
149,2025-01-11,EU,D,1500,active,934-38-1505,2005-04-14,quill8393106@test.example,0
150,2025-07-31,NA,B,3800,active,961-96-1124,1957-12-09,nova5641907@inbox.example,0
151,2026-05-11,APAC,B,3550,active,912-60-2298,1958-01-21,wren6362670@inbox.example,0
152,2025-08-27,NA,C,1950,defaulted,948-69-4431,1967-11-23,ember1969595@post.example,0
153,2025-12-17,EU,E,700,active,963-30-0588,1999-08-20,flint6485354@mail.example,0
154,2026-04-18,NA,B,2900,active,908-12-1730,1981-05-11,drift7159710@mail.example,0
155,2025-05-01,NA,D,1000,active,962-66-1332,1967-08-19,flint9360432@mail.example,0
156,2025-09-06,APAC,D,1100,active,923-65-6735,1979-03-24,cedar7628847@inbox.example,0
157,2025-02-08,APAC,B,2800,defaulted,926-69-0382,1961-12-11,nova6397066@inbox.example,0
158,2026-02-11,NA,A,4700,active,917-20-6166,1958-11-27,peak1674476@post.example,0
159,2026-05-27,NA,C,2300,active,908-97-1332,1976-11-08,coral3033186@test.example,0
160,2025-03-13,NA,D,900,active,963-38-9956,1979-08-14,ember6157542@inbox.example,0
161,2025-04-21,NA,C,1750,active,918-91-7860,2001-04-04,quill4266113@inbox.example,0
162,2025-09-11,EU,A,4100,active,925-20-3999,1981-05-25,coral8510192@test.example,0
163,2025-03-19,EU,A,4700,active,992-66-0547,2006-02-20,urban4677898@mail.example,0
164,2025-06-15,EU,B,3450,active,937-10-1795,1974-03-20,ember2513282@inbox.example,0
165,2026-02-14,NA,D,1450,active,934-59-5187,1990-08-09,peak4457044@post.example,0
166,2025-05-31,APAC,C,2700,defaulted,940-96-9056,1986-10-01,quill308479@post.example,0
167,2025-12-03,EU,A,5200,active,956-16-4857,1971-10-27,lumen6850650@mail.example,0
168,2025-06-30,LATAM,B,4100,active,942-66-7119,2008-04-26,pulse8697575@post.example,0
169,2026-05-29,NA,B,3950,active,990-41-6099,1968-04-14,ember8097877@test.example,0
170,2025-10-07,LATAM,B,2100,active,961-43-6659,1983-03-10,peak7807207@test.example,0
171,2025-10-03,NA,B,3550,active,932-60-8888,1969-05-10,coral1572245@post.example,0
172,2026-02-10,EU,B,4150,active,952-37-3839,1961-06-14,wren5826073@post.example,0
173,2025-06-10,LATAM,C,1400,defaulted,960-43-8941,1960-01-09,vault6535049@inbox.example,0
174,2025-01-24,EU,E,750,defaulted,901-61-2159,1985-08-28,pulse6356027@mail.example,0
175,2025-05-28,EU,A,3600,active,945-98-7401,1992-12-03,nova2411101@mail.example,0
176,2025-05-19,NA,C,1900,active,923-67-6149,1971-05-31,flint2947169@inbox.example,0
177,2026-04-07,NA,B,3350,active,973-59-5473,1987-11-11,wren3024236@mail.example,0
178,2025-06-11,NA,C,2100,active,983-83-2553,1968-12-09,urban3118653@mail.example,0
179,2026-03-10,EU,A,5100,active,976-29-0362,1966-11-17,coral647551@post.example,0
180,2025-10-07,NA,E,900,active,906-45-8909,1981-07-01,urban3142324@inbox.example,0
181,2026-05-25,EU,A,3300,active,976-15-2349,1982-08-03,atlas1881666@mail.example,0
182,2025-09-20,NA,B,2500,defaulted,968-90-3729,1957-05-20,drift5873652@inbox.example,0
183,2025-08-08,NA,B,3100,active,914-18-9971,1981-06-25,nova1643180@post.example,0
184,2025-11-11,NA,A,5200,active,940-94-6968,1990-09-03,nova8917905@test.example,0
185,2025-10-15,LATAM,A,3350,active,903-23-8781,1981-04-17,cedar8650369@test.example,0
186,2026-01-11,NA,E,650,active,947-34-5668,1968-02-22,quill3424017@post.example,0
187,2026-04-04,EU,E,700,active,902-57-9253,1961-11-04,vault16972@test.example,0
188,2026-01-19,NA,C,1550,active,926-79-1898,1982-03-16,atlas5405822@inbox.example,0
189,2025-12-06,NA,C,2450,active,983-56-4739,2001-05-04,flint526083@test.example,0
190,2025-07-17,NA,D,1500,active,993-52-4820,1957-11-25,coral9623506@inbox.example,0
191,2025-09-17,NA,C,1500,active,960-86-4038,1995-02-01,lumen5272023@mail.example,0
192,2025-05-13,EU,A,5300,active,924-96-0149,1978-09-09,lumen1337796@post.example,0
193,2025-01-01,NA,A,4200,active,906-94-5970,1966-09-10,lumen7085252@inbox.example,0
194,2025-05-07,NA,C,2100,defaulted,936-11-8299,1962-09-23,lumen8834264@mail.example,0
195,2026-04-05,EU,C,2750,active,990-96-7140,1965-10-14,atlas4116993@mail.example,0
196,2025-03-12,NA,D,1550,active,961-61-0891,1995-11-29,pulse6057676@test.example,0
197,2025-03-07,NA,A,5400,active,939-70-0236,1991-12-15,coral6245031@inbox.example,0
198,2025-03-16,NA,B,3650,active,997-80-6186,1970-11-25,peak2355560@inbox.example,0
199,2025-06-24,NA,B,2300,defaulted,988-47-0373,1957-02-20,flint4915940@inbox.example,0
200,2025-10-27,APAC,D,1050,active,970-69-0551,1954-10-29,lumen7550749@post.example,0
201,2025-01-31,EU,B,3800,active,960-83-4952,1952-10-31,drift2423812@test.example,0
202,2025-11-08,EU,A,4800,active,921-63-9505,1959-12-17,quill1906348@mail.example,0
203,2025-07-10,APAC,E,600,defaulted,908-28-8793,1982-09-02,pulse3234809@test.example,0
204,2025-02-07,NA,A,3900,active,918-19-0686,1974-07-01,urban8992926@inbox.example,0
205,2025-03-12,EU,C,2050,active,941-33-7310,1972-10-14,urban2065839@test.example,0
206,2025-03-17,EU,D,1350,defaulted,929-86-7873,1976-02-10,vault1546407@inbox.example,0
207,2025-09-22,LATAM,C,1650,active,988-85-7807,1993-01-09,wren7353651@inbox.example,0
208,2025-01-17,NA,A,3800,active,962-55-1001,1996-07-02,flint8833094@inbox.example,0
209,2025-08-08,LATAM,B,2250,active,961-12-1688,1956-03-06,atlas7559830@inbox.example,0
210,2026-03-26,NA,A,4500,active,917-45-8523,1981-08-22,quill8314257@post.example,0
211,2025-10-11,APAC,B,2250,active,910-07-1153,1964-03-22,flint1616604@post.example,0
212,2025-10-18,LATAM,B,4050,active,944-86-2461,1993-12-20,vault1700585@test.example,0
213,2025-11-10,EU,D,1550,active,955-76-2833,1958-09-18,wren3938572@mail.example,0
214,2025-12-02,LATAM,A,4900,active,911-55-6970,1966-10-06,wren3632160@inbox.example,0
215,2025-12-27,NA,A,4700,active,966-56-0362,1967-02-14,drift119990@post.example,0
216,2025-01-04,EU,C,2250,defaulted,940-03-1293,1981-06-14,lumen4481886@inbox.example,0
217,2025-07-23,EU,D,1250,active,905-13-7112,1985-03-15,quill9552666@inbox.example,0
218,2026-01-12,APAC,A,4850,active,991-96-5731,1995-06-07,urban2103493@post.example,0
219,2025-08-30,NA,B,2600,active,947-45-7942,1983-01-31,quill8750605@mail.example,0
220,2025-05-18,EU,D,1050,active,960-67-6754,2000-06-26,cedar8082687@mail.example,0
221,2025-03-26,LATAM,B,3050,active,945-72-3325,2006-01-26,drift5024014@mail.example,0
222,2026-05-29,NA,D,1200,active,999-01-3879,1999-03-08,flint6811900@mail.example,0
223,2025-11-29,APAC,B,3550,active,981-04-5222,1986-02-27,nova6622738@test.example,0
224,2025-09-18,EU,C,1700,active,942-88-6807,1982-02-14,drift6730313@post.example,0
225,2026-03-12,EU,B,2500,active,939-03-0801,1992-05-27,coral2152296@test.example,0
226,2025-02-18,NA,B,3750,active,989-45-6930,1953-10-09,pulse2812839@post.example,0
227,2025-08-05,NA,B,2800,active,946-00-6745,1987-12-24,pulse7084406@post.example,0
228,2025-12-31,NA,B,2150,active,992-71-8187,1997-04-06,peak5094650@test.example,0
229,2025-06-17,NA,B,3750,active,911-75-8254,2002-10-27,ember8309550@post.example,0
230,2025-02-26,EU,D,1550,active,980-97-6172,1978-03-30,urban8248998@post.example,0
231,2025-12-17,EU,C,2100,active,933-21-6365,1991-08-02,atlas6603661@mail.example,0
232,2026-05-19,EU,B,2950,active,908-19-1189,1974-07-07,peak3123338@post.example,0
233,2025-07-07,EU,A,3950,active,979-51-6528,1978-06-08,vault5068010@post.example,0
234,2025-07-01,NA,C,2300,active,944-63-3899,1997-12-26,lumen3563822@inbox.example,0
235,2025-03-15,EU,E,950,active,973-59-5691,1985-02-01,wren9850595@inbox.example,0
236,2025-05-05,EU,A,3700,defaulted,913-62-5583,1985-09-28,pulse1121463@mail.example,0
237,2026-03-28,APAC,C,1600,active,931-57-5505,1962-02-24,atlas4558320@post.example,0
238,2026-05-17,NA,B,2850,active,976-96-1316,1960-02-29,atlas5802567@post.example,0
239,2025-08-03,LATAM,B,2750,defaulted,901-79-3632,1973-07-01,lumen8411782@post.example,0
240,2025-12-30,EU,A,4750,active,967-87-5574,2001-12-20,peak1075916@test.example,0
241,2026-02-12,EU,D,900,active,907-71-4550,1975-01-28,nova9834976@mail.example,0
242,2025-09-20,LATAM,B,2200,active,979-81-1472,2003-04-21,wren7204631@post.example,0
243,2026-04-01,NA,D,1000,active,913-22-1841,1974-10-19,vault3272543@test.example,0
244,2025-01-15,EU,C,2350,active,980-47-1357,1990-06-03,pulse2043595@post.example,0
245,2025-02-04,LATAM,C,2050,defaulted,964-60-7498,1962-01-28,drift6800457@test.example,0
246,2025-12-08,NA,B,2850,active,919-99-6539,1975-06-09,ember3648858@mail.example,0
247,2025-12-16,NA,C,2700,active,978-62-3832,1962-02-05,pulse9807787@post.example,0
248,2025-02-09,APAC,C,2750,defaulted,909-94-2522,1953-02-21,ember7022732@post.example,0
249,2025-05-20,NA,A,3800,active,930-62-1209,1997-08-05,atlas6697275@mail.example,0
250,2025-06-02,EU,B,2250,defaulted,917-72-2155,1986-10-31,quill259480@test.example,0
251,2026-04-11,APAC,E,750,active,907-90-2387,1994-03-31,flint3191317@mail.example,0
252,2026-02-19,LATAM,A,3350,active,961-23-2557,1993-01-11,coral8471215@post.example,0
253,2026-01-22,EU,A,3500,active,982-16-6690,1980-10-08,quill4532245@post.example,0
254,2025-05-20,EU,A,2800,active,914-41-7702,1988-07-12,vault9590508@inbox.example,0
255,2025-10-16,NA,B,2250,active,946-46-9261,1967-03-15,urban8863594@inbox.example,0
256,2026-04-10,NA,C,2100,active,994-12-6837,1983-07-27,urban7036561@test.example,0
257,2025-03-11,NA,A,5200,active,997-99-2648,1967-01-15,quill3662690@inbox.example,0
258,2025-02-23,NA,A,4400,active,950-36-2243,2001-04-11,flint3894817@post.example,0
259,2025-02-23,EU,B,3100,defaulted,987-60-7511,1989-04-12,flint6414431@mail.example,0
260,2025-03-31,NA,C,2200,active,934-17-5526,1972-03-14,atlas945315@post.example,0
261,2026-03-30,NA,E,800,active,909-21-4607,1958-09-23,wren5337942@test.example,0
262,2025-11-28,LATAM,D,850,active,986-43-7125,2006-11-11,ember366586@test.example,0
263,2025-07-13,APAC,A,4100,active,992-53-6170,1991-05-23,quill8296449@mail.example,0
264,2025-08-06,NA,B,3500,active,965-71-9145,1989-02-02,lumen8655006@post.example,0
265,2025-12-08,EU,A,3900,active,900-95-7243,2005-05-08,peak2924791@mail.example,0
266,2025-04-04,NA,B,2800,active,968-80-6812,1959-03-16,quill5421004@post.example,0
267,2025-11-12,EU,B,3350,active,918-74-2629,1975-03-11,flint7696119@test.example,0
268,2026-01-29,EU,D,1350,defaulted,929-71-7596,2006-04-24,atlas4738710@test.example,0
269,2025-03-22,APAC,B,2850,active,970-81-2082,2004-09-23,nova7108752@mail.example,0
270,2025-12-28,EU,B,3050,active,947-93-4510,2003-01-17,pulse9862214@mail.example,0
271,2025-06-13,EU,B,2400,active,906-49-8603,1961-07-22,cedar4734392@inbox.example,0
272,2026-03-02,NA,B,2350,active,984-51-9520,1990-02-10,peak8838932@inbox.example,0
273,2026-02-10,NA,B,3300,active,971-35-1265,1992-08-14,ember946022@inbox.example,0
274,2026-05-21,NA,B,4100,active,915-30-4999,1989-07-19,nova3145657@post.example,0
275,2025-01-31,EU,B,3450,active,936-70-8450,1994-04-18,coral8722750@mail.example,0
276,2026-05-04,EU,A,3650,active,954-79-8776,1993-04-25,urban8775349@inbox.example,0
277,2025-03-13,EU,C,1500,active,913-00-7550,1994-01-25,atlas8441516@test.example,0
278,2026-05-07,APAC,B,2100,active,918-03-5962,1973-06-19,cedar52896@mail.example,0
279,2025-11-18,NA,B,2100,active,911-50-0638,1986-01-31,peak3659520@inbox.example,0
280,2025-05-04,NA,B,2650,active,919-25-2763,1972-11-01,cedar1878519@test.example,0
281,2025-06-07,NA,D,1100,defaulted,987-47-8951,1990-04-14,lumen7563149@inbox.example,0
282,2025-04-23,NA,A,3300,active,958-10-4642,2000-03-13,vault5716904@mail.example,0
283,2026-05-02,EU,C,2700,active,918-59-2382,1962-01-17,ember8262340@inbox.example,0
284,2025-09-26,LATAM,A,3800,active,922-26-0925,1986-08-04,drift6918739@mail.example,0
285,2025-10-03,NA,D,1150,active,952-00-5717,1958-05-04,urban6382245@test.example,0
286,2025-08-15,APAC,B,2650,active,967-93-3102,1993-04-13,peak1099523@post.example,0
287,2025-08-31,NA,C,2100,active,906-70-1560,1993-07-21,cedar5839272@test.example,0
288,2025-09-20,APAC,C,2650,active,906-06-4272,1991-04-17,vault7897555@mail.example,0
289,2025-08-16,NA,B,3600,active,990-68-4714,1988-05-16,pulse2951246@inbox.example,0
290,2025-09-15,NA,C,2350,active,915-67-8879,1977-07-15,lumen6738520@post.example,0
291,2025-11-22,NA,B,3150,active,967-27-8702,1980-03-21,drift9164140@mail.example,0
292,2026-03-01,NA,C,2300,active,989-71-8710,1955-12-02,nova2853667@post.example,0
293,2025-11-01,EU,C,2200,defaulted,947-22-2913,1991-07-31,ember3863471@test.example,0
294,2025-03-27,NA,A,3400,active,963-36-3345,1997-04-08,atlas9835541@post.example,0
295,2025-11-22,NA,C,2650,active,956-61-6233,1960-08-09,nova4034043@mail.example,0
296,2025-12-14,EU,B,2600,active,900-27-7361,1970-12-18,drift6528323@test.example,0
297,2025-04-24,NA,D,1400,defaulted,962-68-1046,2003-08-27,flint5535184@inbox.example,0
